AC,Acre,Norte,829780,"0.710"
AL,Alagoas,Nordeste,3125254,"0.684"
AP,Amapá,Norte,774268,"0.688"
AM,Amazonas,Norte,3952262,"0.700"
BA,Bahia,Nordeste,14659023,"0.691"
CE,Ceará,Nordeste,8936431,"0.734"
DF,Distrito Federal,Centro Oeste,2923369,"0.814"
ES,Espírito Santo,Sudeste,4108508,"0.771"
GO,Goiás,Centro Oeste,6950976,"0.737"
MA,Maranhão,Nordeste,6800605,"0.676"
MT,Mato Grosso,Centro Oeste,3784239,"0.736"
MS,Mato Grosso do Sul,Centro Oeste,2833742,"0.742"
MG,Minas Gerais,Sudeste,20732660,"0.774"
PA,Pará,Norte,8442962,"0.690"
PB,Paraíba,Nordeste,4030961,"0.698"
PR,Paraná,Sul,11835379,"0.769"
PE,Pernambuco,Nordeste,9051113,"0.719"
PI,Piauí,Nordeste,3270174,"0.690"
RJ,Rio de Janeiro,Sudeste,16615526,"0.762"
RN,Rio Grande do Norte,Nordeste,3303953,"0.728"
RS,Rio Grande do Sul,Sul,11088065,"0.771"
RO,Rondônia,Norte,1616379,"0.700"
RR,Roraima,Norte,634805,"0.699"
SC,Santa Catarina,Sul,7762154,"0.792"
SP,São Paulo,Sudeste,46024937,"0.806"
SE,Sergipe,Nordeste,2211868,"0.702"
TO,Tocantins,Norte,1584306,"0.731"
